wave,norm
4537.3267,900.5123566046955
4538.3701,900.6771131853105
4539.417,900.842002321701
4540.4609,901.0059992730501
4541.5083,901.1701242271889
4542.5527,901.333357704855
4543.5981,901.4963254645495
4544.6455,901.659180964745
4545.6909,901.8213016665728
4546.7393,901.9834617782858
4547.7852,902.1448097226838
4548.834,902.3061777450298
4549.8804,902.4667495479213
4550.9272,902.6269554997094
4551.9766,902.7871299512276
4553.0239,902.9465547238041
4554.0737,903.1059293274311
4555.1216,903.2645849493863
4556.1719,903.4231718687424
4557.2197,903.5809498554072
4558.2686,903.7384614467146
4559.3193,903.8958095647462
4560.3682,904.0524547022724
4561.4199,904.2090828394719
4562.4692,904.3649189411568
4563.5215,904.5207642662323
4564.5713,904.675803625241
4565.6211,904.8304074701516
4566.6743,904.9850740974738
4567.7246,905.1388777274072
4568.7778,905.2926674244043
4569.8291,905.4457414010933
4570.8828,905.5987251966794
4571.9341,905.750921679801
4572.9888,905.9031696687777
4574.0405,906.0545448551628
