jd,fnu_microJy,fnu_microJy_unc,passband,programid,fcqfid,N_baseline,pre_or_post,zpdiff,C,sys_unc_factor,poor_conditions
2459118.7054282,-0.49263985004705607,8.363069239405112,ZTF_g,1,4341201,74,-1,26.1814,0,1,0
2459118.726713,15.47302011653008,8.419858239739508,ZTF_r,1,4341202,349,-1,26.2442,1,1,0
2459119.6662269,2.3474087582141787,5.380289212097053,ZTF_r,1,4341202,349,-1,26.3483,1,1,0
2459119.693206,-8.99258388638258,8.329850960624027,ZTF_g,1,4341201,74,-1,26.1926,0,1,0
2459128.6450579,1.9281850187868532,4.319126266257127,ZTF_r,1,4341202,349,-1,26.2309,1,1,0
2459128.6808218,9.143636960088543,9.468717193534777,ZTF_g,1,4341201,74,-1,25.9293,0,1,0
2459130.6313194,-5.060661349459904,4.16727878820375,ZTF_r,1,4341202,349,-1,26.3815,1,1,0
2459135.6028704,8.36630995140642,4.428849024953971,ZTF_g,1,4341201,74,-1,26.257,0,1,0
2459135.6273495,2.176654805195977,4.294441671114946,ZTF_r,1,4341202,349,-1,26.3942,1,1,0
2459137.5897222,-3.4713093804524253,7.255288657325882,ZTF_r,1,4341202,349,-1,26.3159,1,1,0
2459139.6045718,-1.360456336852755,4.568971698371526,ZTF_r,1,4341202,349,-1,26.3113,1,1,0
2459141.605787,-3.49899397120692,5.379844671934098,ZTF_r,1,4341202,349,-1,26.2411,1,1,0
2459145.5945023,0.1775956402926402,4.803721392000327,ZTF_r,1,4341202,349,-1,26.3516,1,1,0
2459150.623287,-0.8085081169048577,10.044396066258452,ZTF_r,1,4341202,349,-1,26.2794,1,1,0
2459150.6313889,-11.986790766795442,12.061254695193849,ZTF_g,1,4341201,74,-1,26.1428,0,1,0
2459151.5873032,-0.5339390428132641,7.861207166558694,ZTF_r,1,4341202,349,-1,26.3563,1,1,0
2459151.6318056,-12.208313434227378,13.463244272931446,ZTF_g,1,4341201,74,-1,26.0878,0,1,0
2459158.5751042,-1.9040752434601942,10.514376553967685,ZTF_r,2,4341202,349,-1,26.3264,1,1,0
2459158.5798148,-3.905846023118332,7.8297211218194,ZTF_r,2,4341202,349,-1,26.3522,1,1,0
2459158.584537,-5.77844923748858,6.937580170928047,ZTF_r,2,4341202,349,-1,26.3123,1,1,0
2459158.5892593,7.531913434358679,7.284190830430414,ZTF_r,2,4341202,349,-1,26.3179,1,1,0
2459158.5939583,-0.19668472571597834,7.174245733862982,ZTF_r,2,4341202,349,-1,26.3189,1,1,0
2459164.5797106,-4.180202563031795,9.224263262602012,ZTF_r,2,4341202,349,-1,26.3239,1,1,0
2459164.5844213,-8.959509739358113,9.120717216813496,ZTF_r,2,4341202,349,-1,26.3111,1,1,0
2459164.5891204,-1.2657484897652822,9.317919018206533,ZTF_r,2,4341202,349,-1,26.298,1,1,0
2459164.5938194,4.6816099842809,9.096056292579517,ZTF_r,2,4341202,349,-1,26.282,1,1,0
2459166.5753009,-76.75221528286521,30.370330196582863,ZTF_r,2,4341202,349,-1,25.2148,1,1,1
